plate,row,col,org,id,stage,colour,genotype
3,A,1,Acropora,c1_1,adults,NA,c1
3,B,1,Acropora,c1_2,adults,NA,c1
3,C,1,Acropora,c3_1,adults,NA,c3
3,D,1,Acropora,c3_2,adults,NA,c3
3,E,1,Acropora,c5_1,adults,NA,c5
3,F,1,Acropora,c5_2,adults,NA,c5
3,G,1,Acropora,c6_1,adults,NA,c6
3,H,1,Acropora,c6_2,adults,NA,c6
3,A,2,Acropora,c7_1,adults,NA,c7
3,B,2,Acropora,c7_2,adults,NA,c7
3,C,2,Acropora,c8_1,adults,NA,c8
3,D,2,Acropora,c8_2,adults,NA,c8
3,E,2,Acropora,c9_1,adults,NA,c9
3,F,2,Acropora,c9_2,adults,NA,c9
3,G,2,Acropora,c10_1,adults,NA,c10
3,H,2,Acropora,c10_2,adults,NA,c10
3,A,3,Acropora,c11_1,adults,NA,c11
3,B,3,Acropora,c11_2,adults,NA,c11
3,C,3,Acropora,c12_1,adults,NA,c12
3,D,3,Acropora,c12_2,adults,NA,c12
3,E,3,Acropora,c13_1,adults,NA,c13
3,F,3,Acropora,c13_2,adults,NA,c13
3,G,3,Acropora,c14_1,adults,NA,c14
3,H,3,Acropora,c14_2,adults,NA,c14
3,A,4,Acropora,c16_1,adults,NA,c16
3,B,4,Acropora,c16_2,adults,NA,c16
3,C,4,Acropora,c17_1,adults,NA,c17
3,D,4,Acropora,c17_2,adults,NA,c17
3,E,4,Acropora,c18_1,adults,NA,c18
3,F,4,Acropora,c18_2,adults,NA,c18
3,G,4,Acropora,c19_1,adults,NA,c19
3,H,4,Acropora,c19_2,adults,NA,c19
3,A,5,Acropora,c20_1,adults,NA,c20
3,B,5,Acropora,c20_2,adults,NA,c20
3,C,5,Acropora,3_3_1,adults,NA,3_3
3,D,5,Acropora,1_10_1,adults,NA,1_10
3,E,5,Acropora,4_10_1,adults,NA,4_10
3,F,5,Acropora,4_30_1,adults,NA,4_30
3,G,5,Acropora,6_10_1,adults,NA,6_10
3,H,5,Acropora,1_30_1,adults,NA,1_30
3,A,6,Acropora,5_3_1,adults,NA,5_3
3,B,6,Acropora,6_30_2,adults,NA,6_30
3,C,6,Acropora,4_10_2,adults,NA,4_10
3,D,6,Acropora,3_30_2,adults,NA,3_30
3,E,6,Acropora,2_10_1,adults,NA,2_10
3,F,6,Acropora,4_3_1,adults,NA,4_3
3,G,6,Acropora,4_5_2,adults,NA,4_5
3,H,6,Acropora,2_5_1,adults,NA,2_5
3,A,7,Acropora,4_3_2,adults,NA,4_3
3,B,7,Acropora,5_3_2,adults,NA,5_3
3,C,7,Acropora,3_10_2,adults,NA,3_10
3,D,7,Acropora,5_5_2,adults,NA,5_5
3,E,7,Acropora,3_30_1,adults,NA,3_30
3,F,7,Acropora,5_10_2,adults,NA,5_10
3,G,7,Acropora,2_30_2,adults,NA,2_30
3,H,7,Acropora,2_3_,adults,NA,2_3
3,A,8,Acropora,6_30_1,adults,NA,6_30
3,B,8,Acropora,7_10_2,adults,NA,7_10
3,C,8,Acropora,5_30_1,adults,NA,5_30
3,D,8,Acropora,4_30_,adults,NA,4_30
3,E,8,Acropora,1_5_,adults,NA,1_5
3,F,8,Acropora,3_10_1,adults,NA,3_10
3,G,8,Acropora,7_5_1,adults,NA,7_5
3,H,8,Acropora,5_30_2,adults,NA,5_30
3,A,9,Acropora,3_3_2,adults,NA,3_3
3,B,9,Acropora,2_30_1,adults,NA,2_30
3,C,9,Acropora,4_5_1,adults,NA,4_5
3,D,9,Acropora,7_30_2,adults,NA,7_30
3,E,9,Acropora,3_5_2,adults,NA,3_5
3,F,9,Acropora,6_10_2,adults,NA,6_10
3,G,9,Acropora,1_3_,adults,NA,1_3
3,H,9,Acropora,6_5_1,adults,NA,6_5
3,A,10,Acropora,7_30_1,adults,NA,7_30
3,B,10,Acropora,7_5_2,adults,NA,7_5
3,C,10,Acropora,6_3_1,adults,NA,6_3
3,D,10,Acropora,6_5_2,adults,NA,6_5
3,E,10,Acropora,5_5_1,adults,NA,5_5
3,F,10,Acropora,6_3_2,adults,NA,6_3
3,G,10,Acropora,5_10_1,adults,NA,5_10
3,H,10,Acropora,7_10_1,adults,NA,7_10
3,A,11,Acropora,7_3_2,adults,NA,7_3
3,B,11,Acropora,7_3_1,adults,NA,7_3
1,A,1,Acropora,14,larvae,clear,c1
1,B,1,Acropora,28,larvae,clear,c1
1,C,1,Acropora,33,larvae,clear,c2
1,D,1,Acropora,29,larvae,clear,c1
1,E,1,Acropora,30,larvae,clear,c1
1,F,1,Acropora,35,larvae,clear,c2
1,G,1,Acropora,31,larvae,clear,c2
1,H,1,Acropora,36,larvae,clear,c2
1,A,2,Acropora,38,larvae,clear,c2
1,B,2,Acropora,40,larvae,clear,c2
1,C,2,Acropora,41,larvae,clear,c3
1,D,2,Acropora,47,larvae,clear,c3
1,E,2,Acropora,43,larvae,clear,c3
1,F,2,Acropora,44,larvae,clear,c3
1,G,2,Acropora,45,larvae,clear,c3
1,H,2,Acropora,48,larvae,clear,c3
1,A,3,Acropora,49,larvae,clear,c3
1,B,3,Acropora,51,larvae,clear,2_3
1,C,3,Acropora,52,larvae,clear,2_3
1,D,3,Acropora,53,larvae,clear,2_3
1,E,3,Acropora,54,larvae,clear,2_3
1,F,3,Acropora,55,larvae,clear,2_3
1,G,3,Acropora,56,larvae,clear,2_3
1,H,3,Acropora,57,larvae,clear,2_3
1,A,4,Acropora,58,larvae,clear,2_3
1,B,4,Acropora,66,larvae,clear,3_05
1,C,4,Acropora,61,larvae,clear,2_10
1,D,4,Acropora,62,larvae,clear,3_05
1,E,4,Acropora,63,larvae,clear,3_05
1,F,4,Acropora,64,larvae,clear,3_05
1,G,4,Acropora,134,larvae,orange,5_05
1,H,4,Acropora,137,larvae,orange,5_05
1,A,5,Acropora,136,larvae,orange,5_05
1,B,5,Acropora,138,larvae,orange,5_05
1,C,5,Acropora,132,larvae,orange,4_30
1,D,5,Acropora,139,larvae,orange,5_05
1,E,5,Acropora,140,larvae,orange,5_05
1,F,5,Acropora,141,larvae,orange,5_05
1,G,5,Acropora,142,larvae,orange,5_05
1,H,5,Acropora,143,larvae,orange,5_05
1,A,6,Acropora,144,larvae,yellow,5_10
1,B,6,Acropora,145,larvae,yellow,5_10
1,C,6,Acropora,146,larvae,yellow,5_10
1,D,6,Acropora,147,larvae,yellow,5_10
1,E,6,Acropora,148,larvae,yellow,5_10
1,F,6,Acropora,149,larvae,yellow,5_10
1,G,6,Acropora,150,larvae,yellow,5_10
1,H,6,Acropora,151,larvae,yellow,5_10
1,A,7,Acropora,152,larvae,yellow,5_10
1,B,7,Acropora,153,larvae,yellow,5_10
1,C,7,Acropora,154,larvae,blue,5_30
1,D,7,Acropora,155,larvae,pink,6_05
1,E,7,Acropora,156,larvae,pink,6_05
1,F,7,Acropora,157,larvae,pink,6_05
1,G,7,Acropora,158,larvae,pink,6_05
1,H,7,Acropora,159,larvae,pink,6_05
1,A,8,Acropora,160,larvae,pink,6_05
1,B,8,Acropora,161,larvae,pink,6_05
1,C,8,Acropora,163,larvae,pink,6_05
1,D,8,Acropora,162,larvae,pink,6_05
1,E,8,Acropora,164,larvae,pink,6_05
1,F,8,Acropora,165,larvae,blue,6_10
1,G,8,Acropora,166,larvae,blue,6_10
1,H,8,Acropora,167,larvae,blue,6_10
1,A,9,Acropora,168,larvae,blue,6_10
1,B,9,Acropora,170,larvae,blue,6_10
1,C,9,Acropora,169,larvae,blue,6_10
1,D,9,Acropora,171,larvae,blue,6_10
1,E,9,Acropora,172,larvae,blue,6_10
1,F,9,Acropora,174,larvae,blue,6_10
1,G,9,Acropora,173,larvae,blue,6_10
1,H,9,Acropora,175,larvae,purple,6_30
1,A,10,Acropora,176,larvae,purple,6_30
1,B,10,Acropora,177,larvae,purple,6_30
1,C,10,Acropora,178,larvae,purple,6_30
1,D,10,Acropora,179,larvae,purple,6_30
1,E,10,Acropora,180,larvae,purple,6_30
1,F,10,Acropora,181,larvae,purple,6_30
1,G,10,Acropora,182,larvae,purple,6_30
1,H,10,Acropora,183,larvae,purple,6_30
1,A,11,Acropora,184,larvae,purple,6_30
1,B,11,Acropora,185,larvae,turquiose,7_05
1,C,11,Acropora,186,larvae,turquiose,7_05
1,D,11,Acropora,187,larvae,turquiose,7_05
1,E,11,Acropora,188,larvae,turquiose,7_05
1,F,11,Acropora,189,larvae,turquiose,7_05
1,G,11,Acropora,190,larvae,turquiose,7_05
1,H,11,Acropora,191,larvae,turquiose,7_05
1,A,12,Acropora,192,larvae,turquiose,7_05
1,B,12,Acropora,193,larvae,turquiose,7_05
1,C,12,Acropora,194,larvae,turquiose,7_05
1,D,12,Acropora,196,larvae,orange,7_3
1,E,12,Acropora,197,larvae,orange,7_3
1,F,12,Acropora,198,larvae,orange,7_3
2,A,1,Acropora,199,larvae,orange,7_3
2,B,1,Acropora,200,larvae,orange,7_3
2,C,1,Acropora,201,larvae,orange,7_3
2,D,1,Acropora,202,larvae,orange,7_3
2,E,1,Acropora,203,larvae,orange,7_3
2,F,1,Acropora,205,larvae,orange,7_3
2,G,1,Acropora,206,larvae,purple,7_10
2,H,1,Acropora,207,larvae,purple,7_10
2,A,2,Acropora,209,larvae,purple,7_10
2,B,2,Acropora,210,larvae,purple,7_10
2,C,2,Acropora,211,larvae,purple,7_10
2,D,2,Acropora,212,larvae,purple,7_10
2,E,2,Acropora,213,larvae,purple,7_10
2,F,2,Acropora,214,larvae,purple,7_10
2,G,2,Acropora,78,larvae,clear,3_3
2,H,2,Acropora,111,larvae,clear,4_10
2,A,3,Acropora,71,larvae,clear,3_3
2,B,3,Acropora,70,larvae,clear,3_3
2,C,3,Acropora,113,larvae,clear,4_10
2,D,3,Acropora,126,larvae,clear,4_30
2,E,3,Acropora,97,larvae,clear,4_05
2,F,3,Acropora,u1,larvae,yellow,NA
2,G,3,Acropora,107,larvae,clear,4_3
2,H,3,Acropora,112,larvae,clear,4_10
2,A,4,Acropora,119,larvae,clear,4_10
2,B,4,Acropora,129,larvae,clear,4_30
2,C,4,Acropora,117,larvae,clear,4_10
2,D,4,Acropora,79,larvae,clear,3_3
2,E,4,Acropora,87,larvae,clear,3_05
2,F,4,Acropora,u2,larvae,purple,NA
2,G,4,Acropora,96,larvae,clear,4_05
2,H,4,Acropora,93,larvae,clear,4_05
2,A,5,Acropora,125,larvae,clear,4_30
2,B,5,Acropora,98,larvae,clear,4_05
2,C,5,Acropora,108,larvae,clear,4_3
2,D,5,Acropora,77,larvae,clear,3_3
2,E,5,Acropora,131,larvae,clear,4_30
2,F,5,Acropora,124,larvae,clear,4_30
2,G,5,Acropora,88,larvae,clear,3_30
2,H,5,Acropora,118,larvae,clear,4_10
2,A,6,Acropora,110,larvae,clear,4_3
2,B,6,Acropora,72,larvae,clear,3_3
2,C,6,Acropora,68,larvae,clear,3_05
2,D,6,Acropora,8u1,larvae,clear,NA
2,E,6,Acropora,8u2,larvae,clear,NA
